id,full_name,position
180,Nicolas Jackson,FWD
181,Christopher Nkunku,MID
182,Cole Palmer,MID
183,Đorđe Petrović,GK
184,Renato Palma Veiga,MID
185,Robert Sánchez,GK
187,Tosin Adarabioyo,DEF
189,Wesley Fofana,DEF
386,Jadon Sancho,MID
560,Pedro Lomba Neto,MID
575,Caleb Wiley,DEF
581,Filip Jørgensen,GK
621,João Félix Sequeira,MID
11,Eddie Nketiah,FWD
159,Trevoh Chalobah,DEF
190,Naouirou Ahamada,MID
193,Cheick Doucouré,MID
194,Chris Richards,DEF
195,Chadi Riad Dnanou,DEF
196,Nathaniel Clyne,DEF
197,Malcolm Ebiowei,MID
199,Eberechi Eze,MID
200,Marc Guéhi,DEF
201,Dean Henderson,GK
202,Rob Holding,DEF
203,Will Hughes,MID
205,Daichi Kamada,MID
206,Jefferson Lerma Solís,MID
207,Jean-Philippe Mateta,FWD
208,Matheus França de Oliveira,MID
209,Remi Matthews,GK
210,Tyrick Mitchell,DEF
211,Daniel Muñoz,DEF
212,David Ozoh,MID
213,Jesurun Rak-Sakyi,MID
214,Jeffrey Schlupp,MID
215,Joel Ward,DEF
216,Adam Wharton,MID
445,Matt Turner,GK
585,Ismaïla Sarr,MID
644,Franco Umeh-Chibueze,MID
645,Justin Devenny,MID
646,Asher Agbinone,MID
647,Kaden Rodney,MID
650,Maxence Lacroix,DEF
666,Caleb Kporha,DEF
676,Zach Marsh,FWD
156,Armando Broja,FWD
217,Abdoulaye Doucouré,MID
218,Norberto Bercique Gomes Betuncal,FWD
219,Jarrad Branthwaite,DEF
220,Dominic Calvert-Lewin,FWD
221,Séamus Coleman,DEF
222,Idrissa Gueye,MID
223,James Garner,MID
224,Jack Harrison,MID
225,Mason Holgate,DEF
226,Tim Iroegbunam,MID
227,João Neves Virgínia,GK
228,Michael Keane,DEF
229,Neal Maupay,FWD
230,Dwight McNeil,MID
231,Vitalii Mykolenko,DEF
232,Iliman Ndiaye,FWD
234,Nathan Patterson,DEF
235,Jordan Pickford,GK
236,James Tarkowski,DEF
237,Youssef Ramalho Chermiti,FWD
238,Ashley Young,DEF
577,Jesper Lindstrøm,MID
582,Jake O'Brien,DEF
603,Harrison Armstrong,MID
614,Jenson Metcalfe,MID
624,Asmir Begovic,GK
627,Roman Dixon,DEF
651,Orel Mangala,MID
678,Callum Bates,MID
10,Reiss Nelson,MID
19,Emile Smith Rowe,MID
191,Joachim Andersen,DEF
239,Adama Traoré,MID
240,Andreas Hoelgebaum Pereira,MID
241,Calvin Bassey,DEF
242,Steven Benda,GK
243,Tom Cairney,MID
244,Timothy Castagne,DEF
245,Issa Diop,DEF
246,Luke Harris,MID
247,Alex Iwobi,MID
248,Bernd Leno,GK
249,Saša Lukić,MID
250,Kevin Mbabu,DEF
251,Rodrigo Muniz Carvalho,FWD
